Variable,Season,Location,Value,ensemble,machine
hus,DJF,North Midlat,7.629,p003,lumi
hus,DJF,Tropical,5.867,p003,lumi
hus,DJF,South Midlat,7.861,p003,lumi
hus,JJA,Global,14.731,p003,lumi
hus,JJA,North Midlat,25.266,p003,lumi
hus,JJA,Tropical,10.903,p003,lumi
hus,JJA,South Midlat,11.852,p003,lumi
sos,ALL,Global,137391844685.454,p003,lumi
sos,ALL,North Midlat,120746217949.864,p003,lumi
sos,ALL,Tropical,73604641726.046,p003,lumi
sos,ALL,South Midlat,252716382162.211,p003,lumi
sos,DJF,Global,96050799654.823,p003,lumi
sos,DJF,North Midlat,101286302871.213,p003,lumi
sos,DJF,Tropical,47339798537.292,p003,lumi
sos,DJF,South Midlat,174944256195.673,p003,lumi
sos,JJA,Global,108266106596.562,p003,lumi
sos,JJA,North Midlat,77463087500.435,p003,lumi
sos,JJA,Tropical,54697152476.094,p003,lumi
sos,JJA,South Midlat,213716388339.796,p003,lumi
siconc,ALL,Global,1.431,p003,lumi
siconc,ALL,North Midlat,2.353,p003,lumi
siconc,ALL,Tropical,,p003,lumi
siconc,ALL,South Midlat,0.782,p003,lumi
siconc,DJF,Global,6.13,p003,lumi
siconc,DJF,North Midlat,2.493,p003,lumi
siconc,DJF,Tropical,,p003,lumi
siconc,DJF,South Midlat,7.714,p003,lumi
siconc,JJA,Global,4.272,p003,lumi
siconc,JJA,North Midlat,5.574,p003,lumi
siconc,JJA,Tropical,,p003,lumi
siconc,JJA,South Midlat,3.547,p003,lumi
psl,ALL,Global,2.389,p004,lumi
psl,ALL,North Midlat,1.694,p004,lumi
psl,ALL,Tropical,2.749,p004,lumi
psl,ALL,South Midlat,2.363,p004,lumi
psl,DJF,Global,1.218,p004,lumi
psl,DJF,North Midlat,0.691,p004,lumi
psl,DJF,Tropical,1.419,p004,lumi
psl,DJF,South Midlat,1.343,p004,lumi
psl,JJA,Global,2.943,p004,lumi
psl,JJA,North Midlat,3.288,p004,lumi
psl,JJA,Tropical,3.656,p004,lumi
